,Unnamed: 0,Nodes Complet,Edges Complet,Diameter Complet,Density Complet,Cluster biconected Complet,Max degree Complet,Mean degree Complet,Sd degree Complet,Var degree Complet,Mean indegree Complet,Mean outdegree Complet,Mean betweenness Complet,Sd betweenness Complet,Var betweenness Complet,Mean closeness Complet,Sd closeness Complet,Var closeness Complet,Nodes Blondel_C,Edges Blondel_C,Diameter Blondel_C,Density Blondel_C,Cluster biconected Blondel_C,Max degree Blondel_C,Mean degree Blondel_C,Sd degree Blondel_C,Var degree Blondel_C,Mean indegree Blondel_C,Mean outdegree Blondel_C,Mean betweenness Blondel_C,Sd betweenness Blondel_C,Var betweenness Blondel_C,Mean closeness Blondel_C,Sd closeness Blondel_C,Var closeness Blondel_C,C:\Angel\Data_2020\unique\22d0885ac8b41ffccd9310f443822a96618d4894.txt,var betweenness Complet,Nodes Cluster,Edges Cluster,Diameter Cluster,Density Cluster,Cluster biconected Cluster,Max degree Cluster,Mean degree Cluster,Sd degree Cluster,Var degree Cluster,Mean indegree Cluster,Mean outdegree Cluster,Mean betweenness Cluster,Sd betweenness Cluster,var betweenness Cluster,Mean closeness Cluster,Sd closeness Cluster,Var closeness Cluster,C:\Angel\Data_2020\unique\594aaeb67f2dcae2109633eb4a030b79b05fbf04.txt
1379,C:\Angel\Data_2020\unique\3a40a01776ac520168a87f9baacb46138e2d025b.txt,701.0,1800.0,7.0,0.0036682290605257795,17.0,51.0,5.135520684736092,7.5037253162250845,56.30589362135724,2.5677603423680457,2.5677603423680457,5.136947218259629,34.148820415753626,1166.1419357873915,0.2438395557342773,0.03583892499587449,0.001284428544859917,193.0,423.0,8.0,0.022830310880829013,27.0,39.0,4.3834196891191715,6.458854929073625,41.71680699481865,4.3834196891191715,4.3834196891191715,226.36787564766843,538.8910081362739,290403.51865012955,0.3045345935399936,0.04373475798809315,0.0019127290562770773,,,,,,,,,,,,,,,,,,,,
1380,C:\Angel\Data_2020\unique\3a471ea962f43cfd7e0ff4998de366992dfde40f.txt,44.0,114.0,3.0,0.06025369978858351,2.0,25.0,5.181818181818182,5.763851777675287,33.22198731501057,2.590909090909091,2.590909090909091,1.2045454545454546,4.203152446231035,17.666490486257924,0.4498407348661933,0.07241252351104291,0.005243573561237342,17.0,32.0,3.0,0.2352941176470588,4.0,12.0,3.7647058823529416,3.5799687806722886,12.816176470588234,3.7647058823529416,3.7647058823529416,6.9411764705882355,15.956671059691288,254.6153513071896,0.5494120876179373,0.10197031900158757,0.010397945957285527,,,,,,,,,,,,,,,,,,,,
1381,C:\Angel\Data_2020\unique\3a4e78b6c3b0f8aaf934ead5cce9dc7fec0ce9f5.txt,786.0,2514.0,5.0,0.004074488257888851,17.0,71.0,6.3969465648854955,11.016845969843443,121.3708951232557,3.1984732824427478,3.1984732824427478,9.814249363867683,70.41982436750345,4958.9516639500325,0.27675790474677897,0.039928241334733584,0.001594264456084728,176.0,480.0,5.0,0.031168831168831162,33.0,40.0,5.454545454545454,8.554910490852228,73.1864935064935,5.454545454545454,5.454545454545454,157.76704545454544,446.6968379950319,199538.0650747598,0.3637948707240154,0.052882422457667805,0.002796550604991248,,,,,,,,,,,,,,,,,,,,
1382,C:\Angel\Data_2020\unique\3a5465d5f193fda5694bb38f3f787f31cc31c430.txt,2773.0,6605.0,5.0,0.0008592701524544295,47.0,129.0,4.763793725207356,8.98632689301599,80.75407102814242,2.3818968626036785,2.3818968626036785,3.3112152902993146,38.991792500332416,1520.3598823889788,0.20056727595519652,0.02548031826473801,0.0006492466188723416,300.0,536.0,8.0,0.011950947603121516,94.0,50.0,3.5733333333333333,5.603805045876972,31.40263099219621,3.5733333333333333,3.5733333333333333,441.32333333333344,1125.2305761099724,1266143.8494127805,0.2579194291358129,0.0353150541054994,0.00124715304647435,,,,,,,,,,,,,,,,,,,,
1383,C:\Angel\Data_2020\unique\3a574097e4cf957012c0c592357b9f5cb4bd3f76.txt,128.0,243.0,3.0,0.014948326771653545,3.0,22.0,3.796875,3.784259515247357,14.320620078740154,1.8984375,1.8984375,0.9375,5.51982825249191,30.468503937007874,0.2811130213950321,0.039643584537734616,0.0015716137950005115,21.0,29.0,5.0,0.1380952380952381,7.0,10.0,2.761904761904762,2.119074371152695,4.490476190476191,2.761904761904762,2.761904761904762,16.285714285714285,26.861858079833823,721.5594195011339,0.39421808491329546,0.07799664147890703,0.006083476081989159,,,,,,,,,,,,,,,,,,,,
1384,C:\Angel\Data_2020\unique\3a58e66291c2d6f87d9c35a4f47bf6ddbcab6b29.txt,461.0,1182.0,3.0,0.005573894180892201,19.0,95.0,5.127982646420825,8.930340202860618,79.75097613882862,2.5639913232104123,2.5639913232104123,1.911062906724512,15.844661715614695,251.05330488226605,0.2832733020487634,0.04254679638196197,0.0018102298823681328,65.0,100.0,7.0,0.04807692307692308,30.0,28.0,3.0769230769230766,4.597239974660382,21.134615384615387,3.0769230769230766,3.0769230769230766,61.615384615384606,164.6442806464825,27107.7391495977,0.3531563774998073,0.062109746936570176,0.003857620664524789,,,,,,,,,,,,,,,,,,,,
1385,C:\Angel\Data_2020\unique\3a6b5d4e9780079bbfe610ed5b357ff09f116be9.txt,26.0,30.0,3.0,0.04615384615384615,14.0,5.0,2.3076923076923075,1.225372784722454,1.5015384615384617,1.1538461538461535,1.1538461538461535,0.4230769230769231,1.2703724469013622,1.613846153846154,0.2446473540697209,0.0498384309439272,0.002483869198952601,9.0,9.0,4.0,0.25,6.0,5.0,2.0,1.224744871391589,1.5,2.0,2.0,4.888888888888889,7.528187770712889,56.67361111111111,0.4720357473980663,0.1162902901823935,0.013523431590705284,,,,,,,,,,,,,,,,,,,,
1386,C:\Angel\Data_2020\unique\3a76f65f094cd1600b5df4be3d7515785ff87166.txt,1680.0,4306.0,5.0,0.0015265605944581526,48.0,90.0,5.126190476190477,9.155374055879195,83.82087410306589,2.5630952380952383,2.5630952380952383,4.576190476190477,41.25667549242037,1702.1132726868786,0.2399477968505753,0.03142892945575974,0.0009877776067351222,291.0,668.0,9.0,0.015831259627918,57.0,63.0,4.59106529209622,7.807674555505486,60.95978196468776,4.59106529209622,4.59106529209622,355.4879725085911,948.5651077417821,899775.7636251785,0.2965065850246716,0.043118686279128106,0.00185922110643787,,,,,,,,,,,,,,,,,,,,
1387,C:\Angel\Data_2020\unique\3a8b244c201565ea936a6685159cf590565e8b8c.txt,1367.0,3953.0,4.0,0.00211693537590196,69.0,102.0,5.783467446964155,7.686000391858349,59.074602023646705,2.8917337234820777,2.8917337234820777,5.778346744696416,31.935226278726173,1019.8586774734424,0.21650437907624656,0.03638977468554841,0.0013242157016649795,211.0,772.0,7.0,0.0348454073572557,17.0,52.0,7.317535545023698,7.706436740210965,59.3891672308734,7.317535545023698,7.317535545023698,213.02843601895736,489.88458242074654,239986.9040935492,0.3376905975098525,0.05199986124612662,0.002703985569616421,,,,,,,,,,,,,,,,,,,,
1388,C:\Angel\Data_2020\unique\3a92ba37f408acc8b850eb8f676dd0d6c6ff491b.txt,617.0,1174.0,3.0,0.003088888421141257,66.0,38.0,3.8055105348460287,4.846115941099676,23.4848397145804,1.9027552674230144,1.9027552674230144,0.28363047001620745,2.250492250535296,5.064715369719422,0.19699129341441432,0.03064311847381735,0.000939000709800406,109.0,241.0,6.0,0.04094461433910975,8.0,33.0,4.422018348623853,6.0204798288866135,36.246177370030594,4.422018348623853,4.422018348623853,108.4862385321101,250.27667000775867,62638.41155017253,0.33904918104098997,0.050178636397721015,0.0025178955507346914,,,,,,,,,,,,,,,,,,,,
